Player,Nation,Pos,Squad,Age,Born,90s, Touches Att 3rd,Touches Att Pen box,Dribbles Attempted,Dribbles Succ%,Carries into the 1/3,SCA90,GCA90,Goals,Expected goals (xG),Non penalty Expected Goals (npxG),Progressive Distance,Assist,xA,Key passes
Alexander Sørloth,no NOR,FW,RB Leipzig,24,1995,16,391,122,32,62.5,27,3.74,0.25,5,6.4,5.7,962,3,2.2,26
Jonathan Tah,de GER,DF,Leverkusen,24,1996,24.7,111,23,8,87.5,10,0.2,0,1,0.8,0.8,9981,0,0.1,2
Edmond Tapsoba,bf BFA,DF,Leverkusen,21,1999,29.5,127,22,25,72,34,0.85,0.03,1,1.1,1.1,16066,0,0.5,3
Niklas Tauer,de GER,"MF,DF",Mainz 05,19,2001,0.8,8,1,0,,0,1.3,0,0,0,0,196,0,0,1
Lino Tempelmann,de GER,"MF,DF",Freiburg,21,1999,3,51,2,3,66.7,2,1,0,0,0.2,0.2,488,0,0,1
Cedric Teuchert,de GER,"FW,MF",Union Berlin,23,1997,8.4,150,34,24,41.7,16,2.15,0.36,3,3.3,3.3,781,1,1,8
Malick Thiaw,de GER,DF,Schalke 04,18,2001,16.1,47,14,2,50,3,0.37,0,1,0.5,0.5,4134,0,0.1,2
Jan Thielmann,de GER,"FW,MF",Köln,18,2002,11.4,225,21,8,62.5,11,1.66,0.26,2,1.1,1.1,1201,3,0.7,9
Erik Thommy,de GER,"DF,FW",Stuttgart,25,1994,3.5,95,14,6,50,8,3.16,0.58,0,0.5,0.5,471,2,0.9,7
Marcus Thuram,fr FRA,FW,M'Gladbach,22,1997,19.2,387,113,63,65.1,37,2.55,0.57,8,7.8,7.8,1408,3,2,14
Steffen Tigges,de GER,FW,Dortmund,22,1998,0.6,12,4,0,,0,1.61,0,0,0.2,0.2,78,0,0,0
Guus Til,nl NED,FW,Freiburg,22,1997,1.4,22,8,0,,0,0.72,0,0,0.3,0.3,44,0,0,1
Corentin Tolisso,fr FRA,MF,Bayern Munich,25,1994,8.7,150,25,9,66.7,11,2.19,0.23,1,2.3,2.3,2625,0,0.5,9
Ömer Toprak,tr TUR,DF,Werder Bremen,31,1989,21.6,47,15,17,70.6,8,0.37,0,2,0.9,0.9,5850,0,0,1
Jordan Torunarigha,de GER,DF,Hertha BSC,22,1997,10.8,43,9,7,71.4,4,0.65,0.09,0,0.1,0.1,4375,0,0.7,4
Almamy Touré,ml MLI,DF,Eint Frankfurt,24,1996,7.8,190,26,19,68.4,14,3.2,0.38,1,1.1,1.1,2003,1,1.2,12
Lucas Tousart,fr FRA,MF,Hertha BSC,23,1997,23.2,156,24,19,63.2,22,1.29,0.26,1,1.5,1.5,3465,0,1,7
Ibrahima Traoré,gn GUI,"FW,DF",M'Gladbach,32,1988,1.1,30,4,3,33.3,1,0.92,0,0,0,0,135,0,0.2,1
Kevin Trapp,de GER,GK,Eint Frankfurt,30,1990,33,0,0,0,,0,0.03,0,0,0,0,19176,0,0,0
Christopher Trimmel,at AUT,DF,Union Berlin,33,1987,28.6,562,16,20,50,44,2.69,0.42,1,0.3,0.3,9056,9,4.9,55
Tuta,br BRA,DF,Eint Frankfurt,21,1999,16.2,102,10,7,85.7,21,0.74,0.19,0,0.1,0.1,6042,0,0.3,4
Dayot Upamecano,fr FRA,DF,RB Leipzig,21,1998,25.9,87,27,16,62.5,18,0.93,0.04,1,1,1,13305,0,0.9,8
Mark Uth,de GER,"FW,MF",Schalke 04,28,1991,16.6,282,45,44,40.9,16,2.77,0.24,3,2.8,2.8,1939,1,1.2,22
Ruben Vargas,ch SUI,"MF,FW",Augsburg,21,1998,17.9,350,69,86,50,42,2.29,0.17,6,3.8,3.8,1623,3,2.7,25
Miloš Veljković,rs SRB,DF,Werder Bremen,24,1995,19.1,34,7,0,,1,0.21,0,0,0.5,0.5,5577,0,0,1
Michel Vlap,nl NED,"MF,FW",Arminia,23,1997,4.1,62,11,5,80,5,2.67,0.49,1,0.3,0.3,388,1,0.6,8
Andreas Voglsammer,de GER,"FW,MF",Arminia,28,1992,11.1,212,63,14,50,9,2.16,0.27,2,3.5,3.5,697,2,1.8,9
Kevin Vogt,de GER,DF,Hoffenheim,28,1991,20.5,24,1,4,75,7,0.64,0.1,0,0,0,11628,1,0.6,4
Silas Wamangituka,cd COD,"DF,FW",Stuttgart,20,1999,21.3,412,108,96,58.3,33,2.86,0.47,11,7.3,5.1,1598,4,5.1,23
Wout Weghorst,nl NED,FW,Wolfsburg,27,1992,32.7,531,201,32,65.6,21,2.17,0.37,20,17.9,15.8,1490,8,4.9,41
Mitchell Weiser,de GER,DF,Leverkusen,26,1994,2.5,65,11,4,50,4,0.8,0.4,1,0.1,0.1,914,0,0,0
Wendell,br BRA,DF,Leverkusen,27,1993,16.2,274,18,22,59.1,28,0.68,0.12,0,0.6,0.6,4969,0,0.1,1
Oscar Wendt,se SWE,DF,M'Gladbach,34,1985,13.9,203,16,3,100,9,1.15,0.07,1,1,1,3932,1,1,8
William,br BRA,FW,Wolfsburg,25,1995,0,1,0,0,,0,0,0,0,0,0,0,0,0,0
William,br BRA,"DF,FW",Schalke 04,25,1995,5.3,80,13,12,41.7,7,0.95,0,0,0.3,0.3,888,0,0,2
Marten Winkler,de GER,FW,Hertha BSC,17,2002,0,1,0,0,,0,0,0,0,0,0,0,0,0,0
Florian Wirtz,de GER,MF,Leverkusen,17,2003,24.7,540,84,92,67.4,48,3.48,0.4,5,4.4,4.4,3531,6,4.6,49
Axel Witsel,be BEL,MF,Dortmund,31,1989,12.6,137,11,13,69.2,20,1.51,0.08,0,1,1,2946,0,0.6,5
Hannes Wolf,at AUT,"MF,FW",M'Gladbach,21,1999,15.3,292,50,36,52.8,27,2.16,0.52,3,2,2,1492,2,2.7,17
