Player,Nation,Pos,Squad,Age,Born,90s, Touches Att 3rd,Touches Att Pen box,Dribbles Attempted,Dribbles Succ%,Carries into the 1/3,SCA90,GCA90,Goals,Expected goals (xG),Non penalty Expected Goals (npxG),Progressive Distance,Assist,xA,Key passes
Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,29,1991,26.4,705,144,58,70.7,65,3.4,0.53,20,16.4,12.6,2683,5,4.6,39
Christoph Kramer,de GER,MF,M'Gladbach,29,1991,22.6,213,17,26,88.5,11,1.46,0.13,0,0.4,0.4,5431,2,1.2,11
Max Kruse,de GER,"FW,MF",Union Berlin,32,1988,18.1,364,42,19,78.9,34,3.48,0.55,11,6.6,2,2330,5,4.5,38
Lukas Kübler,de GER,DF,Freiburg,27,1992,9.8,122,6,9,66.7,10,1.02,0.1,0,0.1,0.1,2426,1,0.3,4
Pierre Kunde,cm CMR,MF,Mainz 05,25,1995,5.7,69,1,4,25,6,1.4,0,0,0.1,0.1,1152,0,0.9,6
Fabian Kunze,de GER,MF,Arminia,22,1998,14.1,121,7,18,72.2,14,1.13,0,0,0.5,0.5,1898,0,0.4,5
Ahmed Kutucu,tr TUR,"FW,MF",Schalke 04,20,2000,1.2,28,5,4,75,3,0.83,0,0,0.3,0.3,35,0,0,1
Maxence Lacroix,fr FRA,DF,Wolfsburg,20,2000,28.8,48,25,15,73.3,8,0.69,0.14,1,1.6,1.6,10858,1,0.4,4
Konrad Laimer,at AUT,"DF,FW",RB Leipzig,23,1997,0.9,27,2,2,0,0,1.07,0,0,0.4,0.4,197,0,0,0
Stefan Lainer,at AUT,DF,M'Gladbach,27,1992,30.8,627,59,36,52.8,58,1.89,0.2,2,2.3,2.3,9716,2,2.4,34
Michael Langer,at AUT,GK,Schalke 04,35,1985,2.7,0,0,0,,0,0,0,0,0,0,840,0,0,0
Danny Latza,de GER,MF,Mainz 05,30,1989,20,273,31,23,69.6,14,1.75,0.15,0,1.9,1.9,2925,2,2.2,23
Valentino Lazaro,at AUT,"DF,FW",M'Gladbach,24,1996,13.8,243,37,25,48,16,2.32,0.15,2,2,2,2042,0,1,16
Mathew Leckie,au AUS,"FW,DF",Hertha BSC,29,1991,5.6,110,20,14,35.7,9,1.6,0.18,0,0.1,0.1,629,1,0.6,5
Christopher Lenz,de GER,DF,Union Berlin,25,1994,25,422,19,21,61.9,30,1.88,0.2,0,0.9,0.9,7643,3,2,19
Robert Lewandowski,pl POL,FW,Bayern Munich,31,1988,27.3,661,236,45,55.6,29,2.71,0.66,41,31.6,24.7,1538,7,3.6,30
Philipp Lienhart,at AUT,DF,Freiburg,24,1996,33.3,70,17,10,60,7,0.39,0,4,2.1,2.1,10364,0,0.3,3
Dimitris Limnios,gr GRE,"MF,FW",Köln,22,1998,4.2,92,13,12,50,8,1.19,0,0,0.6,0.6,459,0,0.5,4
Niklas Lomb,de GER,GK,Leverkusen,27,1993,1.5,0,0,0,,0,0,0,0,0,0,848,0,0,0
Eduard Löwen,de GER,"MF,DF",Hertha BSC,23,1997,0.9,20,3,1,100,2,1.06,0,0,0,0,238,0,0,0
Jan Luca Schuler,de GER,FW,Schalke 04,21,1999,0.4,5,1,0,,0,0,0,0,0.1,0.1,3,0,0,0
Anderson Lucoqui,ao ANG,DF,Arminia,23,1997,17.8,195,3,25,52,19,0.9,0.11,0,0.1,0.1,3647,0,0.1,6
Kilian Ludewig,de GER,DF,Schalke 04,20,2000,5.8,74,7,10,60,8,1.56,0,0,0,0,1738,0,0.3,5
Dodi Lukebakio,be BEL,"FW,MF",Hertha BSC,22,1997,20.6,364,81,68,58.8,27,2.09,0.34,5,6.9,5.3,1332,5,2.5,21
Andreas Luthe,de GER,GK,Union Berlin,33,1987,30.8,0,0,0,,0,0.07,0,0,0,0,16032,0,0,0
Tim Maciejewski,de GER,MF,Union Berlin,19,2001,0.1,2,1,0,,1,0,0,0,0,0,2,0,0,0
Luca Mack,de GER,MF,Stuttgart,20,2000,0.1,1,0,0,,0,0,0,0,0,0,10,0,0,0
Mikail Maden,no NOR,FW,Schalke 04,18,2002,0.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Arne Maier,de GER,MF,Hertha BSC,21,1999,0.3,3,0,0,,2,6,0,0,0,0,108,0,0.2,1
Arne Maier,de GER,MF,Arminia,21,1999,11.5,158,15,13,76.9,19,2,0.17,0,0.4,0.4,1365,0,1.4,12
Yunus Mallı,tr TUR,MF,Wolfsburg,28,1992,0.6,7,1,2,0,1,3.1,0,0,0,0,62,0,0.1,2
Orel Mangala,be BEL,MF,Stuttgart,22,1998,23.4,351,42,85,72.9,42,2.26,0.21,1,1.4,1.4,4051,3,1.5,16
Omar Marmoush,eg EGY,FW,Wolfsburg,21,1999,0,1,1,0,,0,0,0,0,0,0,0,0,0,0
Aarón Martín,es ESP,DF,Mainz 05,23,1997,2.9,59,1,7,71.4,1,1.72,0,0,0,0,899,0,0.4,5
Javi Martínez,es ESP,"DF,MF",Bayern Munich,31,1988,5.2,42,6,1,0,7,0.58,0,0,0.3,0.3,1778,0,0.2,1
Josep Martinez,es ESP,GK,RB Leipzig,22,1998,1,0,0,0,,0,0,0,0,0,0,366,0,0,0
Omar Mascarell,es ESP,MF,Schalke 04,27,1993,19.6,110,4,20,70,9,0.61,0.05,1,0.3,0.3,3703,1,0.5,7
Roberto Massimo,de GER,"DF,FW",Stuttgart,19,2000,8.4,179,34,40,50,20,2.62,0.36,0,1.7,1.7,984,0,1.4,8
Jean-Philippe Mateta,fr FRA,FW,Mainz 05,23,1997,11.1,183,55,25,60,3,2.26,0.36,7,7.4,6.7,307,1,1.5,14
Rabbi Matondo,wal WAL,"FW,MF",Schalke 04,19,2000,2.4,36,3,8,25,3,1.64,0,0,0,0,56,0,0.1,3
Henning Matriciani,de GER,DF,Schalke 04,20,2000,0.3,1,0,0,,1,0,0,0,0,0,72,0,0,0
Konstantinos Mavropanos,gr GRE,DF,Stuttgart,22,1997,16.3,99,21,17,70.6,9,0.55,0.12,0,1.4,1.4,7314,0,0.3,4
Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Bayern Munich,31,1989,9.1,183,52,24,75,6,2.3,0.11,3,3.2,3.2,404,0,1.6,11
Kevin Mbabu,ch SUI,DF,Wolfsburg,25,1995,18.2,389,28,64,54.7,43,1.64,0.11,0,0.5,0.5,6665,1,1.2,13
Jean-Manuel Mbom,de GER,"MF,DF",Werder Bremen,20,2000,12.9,143,16,16,50,17,1.47,0.16,0,0.5,0.5,1374,1,0.6,7
Nathan de Medina,be BEL,DF,Arminia,22,1997,7.1,77,3,10,50,3,0.7,0.14,0,0,0,1591,1,0.6,3
Joshua Mees,de GER,FW,Union Berlin,24,1996,0.1,5,2,0,,0,0,0,0,0.1,0.1,0,0,0,0
Admir Mehmedi,ch SUI,"MF,FW",Wolfsburg,29,1991,9.1,261,37,12,75,16,4.5,0.33,0,0.9,0.9,1392,2,2,17
Hamza Mendyl,ma MAR,FW,Schalke 04,22,1997,1.1,17,2,2,100,2,0,0,0,0.1,0.1,144,0,0,0
Levent Mercan,de GER,FW,Schalke 04,19,2000,0.1,0,0,0,,0,0,0,0,0,0,5,0,0,0
Jorge Meré,es ESP,DF,Köln,23,1997,14.4,22,2,1,100,2,0.35,0,0,0,0,3552,0,0.2,3
Thomas Meunier,be BEL,DF,Dortmund,28,1991,16.4,427,37,25,80,62,1.47,0.06,1,0.9,0.9,5553,1,1.7,13
Max Meyer,de GER,MF,Köln,24,1995,3.9,103,13,3,100,5,1.54,0,0,1,1,654,0,0.1,2
Jonas Michel Dirkner,de GER,MF,Hertha BSC,18,2002,0.2,0,0,0,,0,0,0,0,0,0,43,0,0,0
Jonas Michelbrink,de GER,MF,Hertha BSC,19,2001,0.4,9,3,0,,2,0,0,0,0,0,39,0,0,0
Maximilian Mittelstädt,de GER,DF,Hertha BSC,23,1997,20,336,21,41,65.9,29,1.85,0.1,0,0.8,0.8,5985,2,1.9,23
Anthony Modeste,fr FRA,"FW,MF",Köln,32,1988,2.5,27,12,1,0,1,1.63,0,0,1.8,1,43,0,0,1
Kevin Möhwald,de GER,MF,Werder Bremen,27,1993,17.3,191,14,22,68.2,17,1.68,0.17,5,1.3,1.3,3098,1,1,12
Niklas Moisander,fi FIN,DF,Werder Bremen,34,1985,13.6,19,2,5,60,3,0.22,0.07,0,0,0,5795,0,0,2
Alkhaly Momo Cissé,gn GUI,"DF,FW",Stuttgart,17,2002,0.4,10,1,2,0,1,2.37,0,0,0,0,35,0,0,1
Jan Morávek,cz CZE,MF,Augsburg,30,1989,3,42,2,0,,2,1.69,0,0,0.1,0.1,389,0,0,1
Mateu Morey,es ESP,DF,Dortmund,20,2000,9.2,245,4,9,44.4,26,2.06,0.33,0,0.1,0.1,3181,2,0.6,7
Youssoufa Moukoko,de GER,"FW,MF",Dortmund,15,2004,4.7,102,34,17,64.7,3,3.63,0.43,3,2.8,2.8,123,0,0.7,1
Nordi Mukiele,fr FRA,DF,RB Leipzig,22,1997,18.6,421,52,28,57.1,31,1.4,0.16,3,2.3,2.3,6573,1,1.5,10
Florian Müller,de GER,GK,Freiburg,22,1997,31,0,0,1,100,0,0.23,0.03,0,0,0,17236,0,0,1
Sebastian Müller,de GER,"MF,DF",Arminia,19,2001,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Thomas Müller,de GER,MF,Bayern Munich,30,1989,29.7,1013,216,50,70,52,4.81,0.98,11,7.1,6.4,5212,19,11.5,90
Petar Musa,hr CRO,FW,Union Berlin,22,1998,7.9,148,40,6,16.7,4,2.01,0.25,1,2.5,2.5,323,3,0.8,8
Jamal Musiala,de GER,"FW,MF",Bayern Munich,17,2003,9.8,317,68,60,61.7,26,3.47,0.61,6,3.1,3.1,1157,1,0.9,9
Shkodran Mustafi,de GER,DF,Schalke 04,28,1992,11.5,25,14,4,25,2,0.35,0,1,0.5,0.5,3704,0,0,1
Phillipp Mwene,at AUT,DF,Mainz 05,26,1994,18.6,271,14,21,52.4,21,1.99,0.16,1,0.2,0.2,3425,2,1.4,18
Obite N'Dicka,fr FRA,DF,Eint Frankfurt,20,1999,22.7,200,26,18,44.4,60,0.84,0.13,3,1.1,1.1,7579,1,0.3,5
Matija Nastasić,rs SRB,DF,Schalke 04,27,1993,13.6,16,10,1,100,1,0.22,0,0,0.3,0.3,3895,0,0,0
Paul Nebel,de GER,MF,Mainz 05,17,2002,0.6,8,0,2,50,0,0,0,0,0,0,97,0,0,0
Luca Netz,de GER,DF,Hertha BSC,17,2003,3.4,71,17,9,55.6,6,1.75,0.29,1,0.8,0.8,664,0,0.1,2
Manuel Neuer,de GER,GK,Bayern Munich,34,1986,33,0,0,2,100,0,0.12,0,0,0,0,17759,0,0.2,1
Florian Neuhaus,de GER,MF,M'Gladbach,23,1997,29.1,362,43,67,68.7,47,2.16,0.31,6,3.1,3.1,8857,5,2.4,22
Jessic Ngankam,de GER,FW,Hertha BSC,20,2000,3.3,47,12,9,66.7,1,0.91,0,2,0.5,0.5,92,0,0,1
Moussa Niakhate,fr FRA,DF,Mainz 05,24,1996,31.8,228,24,19,73.7,33,1.19,0.06,3,2.6,1.9,10864,1,2,15
Florian Niederlechner,de GER,FW,Augsburg,29,1990,19.3,205,84,31,61.3,9,1.45,0.26,5,6.7,6.7,770,4,3,13
Joakim Nilsson,se SWE,DF,Arminia,26,1994,24,32,14,5,80,3,0.29,0,0,0.4,0.4,5795,0,0.1,2
Christopher Nkunku,fr FRA,"FW,MF",RB Leipzig,22,1997,21,788,129,60,58.3,49,6.18,0.76,6,7.8,7.8,4047,6,7.5,71
Håvard Nordtveit,no NOR,DF,Hoffenheim,30,1990,7.8,16,4,5,80,6,0.77,0,0,0.2,0.2,3604,0,0.3,3
Alexander Nübel,de GER,GK,Bayern Munich,23,1996,1,0,0,0,,0,0,0,0,0,0,512,0,0,0
Kasim Nuhu,gh GHA,DF,Hoffenheim,25,1995,11,41,8,9,77.8,5,0.55,0.09,0,0.6,0.6,4711,0,0,1
Bastian Oczipka,de GER,DF,Schalke 04,31,1989,21.4,291,11,28,46.4,39,2.11,0.14,0,0.3,0.3,6596,2,1.5,27
Masaya Okugawa,jp JPN,MF,Arminia,24,1996,10.2,104,23,9,77.8,7,1.58,0.39,1,0.9,0.9,430,0,0.8,3
Dani Olmo,es ESP,"MF,FW",RB Leipzig,22,1998,24.4,723,109,65,36.9,53,4.27,0.78,5,7.6,7,4760,9,4.9,38
Karim Onisiwo,at AUT,FW,Mainz 05,28,1992,20.5,451,112,78,44.9,28,2.3,0.2,4,5.3,5.3,804,0,2.4,18
Willi Orban,hu HUN,DF,RB Leipzig,27,1992,26.3,171,37,13,69.2,32,0.69,0.11,4,3.5,3.5,11721,1,0.8,8
Stefan Ortega,de GER,GK,Arminia,27,1992,34,0,0,0,,0,0.53,0.09,0,0,0,32451,1,0.6,6
Yuya Osako,jp JPN,"MF,FW",Werder Bremen,30,1990,8.5,143,26,24,54.2,8,2.72,0.35,0,0.5,0.5,786,1,1.5,10
Paulo Otávio,br BRA,DF,Wolfsburg,25,1994,19.3,359,14,46,54.3,60,1.61,0.1,0,0.7,0.7,5205,2,1.9,16
Reece Oxford,eng ENG,DF,Augsburg,21,1998,15.1,44,14,5,80,5,0.27,0,0,0.7,0.7,4263,0,0.1,2
Salih Özcan,de GER,MF,Köln,22,1998,15.2,167,17,16,43.8,14,1.58,0.2,0,0.6,0.6,2394,1,0.7,12
Levin Öztunalı,de GER,"DF,FW",Mainz 05,24,1996,8.4,135,21,18,66.7,12,2.26,0.24,1,0.6,0.6,1375,2,0.9,10
Gonçalo Paciência,pt POR,FW,Schalke 04,25,1994,8.3,124,35,20,55,7,1.56,0.48,1,1.3,1.3,414,1,0.6,3
Exequiel Palacios,ar ARG,MF,Leverkusen,21,1998,6.4,79,4,5,80,3,2.36,0.16,0,0.1,0.1,1616,0,0.9,9
Matondo-Merveille Papela,de GER,DF,Mainz 05,19,2001,0,0,0,0,,0,0,0,0,0,0,9,0,0,0
Felix Passlack,de GER,DF,Dortmund,22,1998,4,78,7,6,50,7,1.49,0,1,0.9,0.9,981,0,0.2,3
Paulinho,br BRA,FW,Leverkusen,20,2000,0.7,17,4,3,66.7,1,1.38,0,0,0.3,0.3,33,0,0,0
Benjamin Pavard,fr FRA,DF,Bayern Munich,24,1996,21.6,546,33,7,71.4,40,1.3,0.09,0,0.4,0.4,9361,0,1.9,14
Jiří Pavlenka,cz CZE,GK,Werder Bremen,28,1992,34,1,1,1,100,0,0.03,0,0,0,0,16288,0,0,0
Vasileios Pavlidis,gr GRE,FW,Schalke 04,17,2002,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Mads Pedersen,dk DEN,DF,Augsburg,23,1996,9.9,116,8,27,51.9,12,1.93,0.1,0,0,0,2300,0,0.8,12
Peter Pekarík,sk SVK,DF,Hertha BSC,33,1986,18.8,307,20,11,72.7,25,1.06,0.05,3,1.4,1.4,4920,1,0.9,9
Philipp Pentke,de GER,GK,Hoffenheim,35,1985,3,0,0,0,,0,0,0,0,0,0,1248,0,0,0
Pavao Pervan,at AUT,GK,Wolfsburg,32,1987,2,0,0,0,,0,0,0,0,0,0,1013,0,0,0
Nils Petersen,de GER,FW,Freiburg,31,1988,14.5,185,56,14,35.7,1,1.66,0.07,8,6.4,5.6,431,0,1.5,9
Lukas Petkov,de GER,MF,Augsburg,19,2000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Maximilian Philipp,de GER,MF,Wolfsburg,26,1994,12.3,229,44,19,73.7,10,2.35,0.32,6,3,3,827,2,1.5,15
Krzysztof Piątek,pl POL,FW,Hertha BSC,25,1995,18.1,264,84,17,41.2,6,1.21,0.17,7,6.7,5.9,601,1,1.3,10
Amos Pieper,de GER,DF,Arminia,22,1998,29.8,62,22,9,77.8,6,0.57,0.07,1,1,1,8151,1,0.5,7
Łukasz Piszczek,pl POL,DF,Dortmund,35,1985,5.1,45,6,4,50,10,1.38,0.2,0,0,0,1712,0,0.3,3
Marvin Plattenhardt,de GER,DF,Hertha BSC,28,1992,11.9,215,4,8,50,24,2.18,0.25,0,0.1,0.1,4077,2,1.3,11
Alassane Pléa,fr FRA,FW,M'Gladbach,27,1993,20,445,103,42,61.9,31,3.19,0.35,6,5.1,5.1,2060,1,3.9,27
Joel Pohjanpalo,fi FIN,FW,Union Berlin,25,1994,9.5,115,48,6,50,3,1.59,0.21,6,6.9,6.9,539,0,1.4,7
Joel Pohjanpalo,fi FIN,MF,Leverkusen,25,1994,0.1,2,0,0,,0,0,0,0,0,0,0,0,0,0
Marin Pongračić,hr CRO,DF,Wolfsburg,22,1997,6.4,6,2,2,50,1,0.63,0,0,0,0,1938,0,0,0
Stefan Posch,at AUT,DF,Hoffenheim,23,1997,23.5,214,16,15,53.3,26,1.02,0.04,0,0.8,0.8,8794,0,0.8,12
Yussuf Poulsen,dk DEN,FW,RB Leipzig,26,1994,15,289,78,40,65,10,2.46,0.47,5,5,5,966,4,2.8,14
Manuel Prietl,at AUT,MF,Arminia,28,1991,28,133,17,28,71.4,18,1.11,0.18,1,0.7,0.7,3547,1,1.4,8
Grischa Prömel,de GER,MF,Union Berlin,25,1995,20.2,194,32,21,61.9,15,1.88,0.15,3,1.9,1.9,2078,1,0.8,8
Robin Quaison,se SWE,"FW,MF",Mainz 05,26,1993,16.4,210,49,40,62.5,22,2.07,0.43,6,5.9,5.1,933,2,2.9,13
Nemanja Radonjić,rs SRB,"FW,DF",Hertha BSC,24,1996,6.8,187,33,36,61.1,14,3.09,0.88,1,1.8,1.8,1101,2,0.9,8
Benito Raman,be BEL,"FW,MF",Schalke 04,25,1994,13.8,209,42,23,52.2,9,2.09,0,2,2.3,2.2,1398,0,1.4,16
Milot Rashica,xk KVX,"FW,MF",Werder Bremen,24,1996,16.2,306,55,75,57.3,30,2.59,0.31,3,4.4,3.6,1131,2,1.7,18
Daishawn Redan,nl NED,"FW,MF",Hertha BSC,19,2001,1.1,20,6,4,50,1,2.65,0,0,0.6,0.6,87,0,0,1
Reinier,br BRA,"MF,FW",Dortmund,18,2002,2.9,56,11,4,75,1,2.45,0.35,1,0.9,0.9,293,1,0.4,4
Rocco Reitz,de GER,MF,M'Gladbach,18,2002,0.7,7,0,2,100,0,4.5,0,0,0,0,174,0,0.1,2
Marco Reus,de GER,"MF,FW",Dortmund,31,1989,25.3,772,168,75,54.7,47,3.63,0.47,8,10,7.4,3833,6,8.1,50
Elvis Rexhbeçaj,de GER,"MF,FW",Köln,22,1997,20.4,317,26,30,43.3,24,2.11,0.2,5,2.1,2.1,2868,2,2.3,26
Gio Reyna,us USA,"FW,MF",Dortmund,17,2002,22,638,121,88,55.7,49,3.14,0.46,4,4.5,4.5,2485,5,4.3,34
Chris Richards,us USA,DF,Hoffenheim,20,2000,10.5,25,6,4,75,1,1.05,0.1,0,0.2,0.2,3849,1,0.3,4
Chris Richards,us USA,DF,Bayern Munich,20,2000,1,21,0,0,,3,3.03,1.01,0,0,0,461,1,0.3,3
Marco Richter,de GER,"FW,MF",Augsburg,22,1997,15.7,337,61,79,57,26,2.92,0.38,3,4.9,4.9,1775,1,1.6,15
Marc Roca,es ESP,MF,Bayern Munich,23,1996,2,37,3,5,100,4,1.02,0,0,0.3,0.3,728,0,0,1
